target,simbad_main_id,simbad_object_type,simbad_ra_deg,simbad_dec_deg,simbad_coordinate_bibcode,gaia_dr3_source_id,gaia_identifier_count,identity_status,match_method,match_radius_arcsec,gaia_source_id,gaia_ref_epoch,gaia_ra,gaia_ra_error,gaia_dec,gaia_dec_error,gaia_parallax,gaia_parallax_error,gaia_pmra,gaia_pmra_error,gaia_pmdec,gaia_pmdec_error,gaia_ruwe,gaia_duplicated_source,gaia_phot_g_mean_mag,gaia_bp_rp,gaia_radial_velocity,gaia_radial_velocity_error,astrometric_context_boundary
HD 4614 A,* eta Cas,PM*,12.276227476217503,57.81517728880999,2020yCat.1350....0G,425040000962559616,1,unique,exact SIMBAD identifier,,425040000962559616,2016.0,12.285227381524424,0.09514021,57.81272812559009,0.11174436,168.83216034019418,0.1663396,1078.6091666696218,0.1266705,-551.1334202185512,0.1531009,3.1213033,False,3.3200667,0.8868861,,,identity/context only; RUWE and other Gaia fields are not companion classifications
HD 4628,HD   4628,PM*,12.095733229549584,5.280613745820556,2020yCat.1350....0G,2552925644460225152,1,unique,exact SIMBAD identifier,,2552925644460225152,2016.0,12.099107075154986,0.052565947,5.27553944692346,0.022932967,134.49484768931154,0.057815686,755.893500290751,0.07685196,-1141.719303057953,0.060664717,1.0807776,False,5.467689,1.1095943,-10.367759,0.11788173,identity/context only; RUWE and other Gaia fields are not companion classifications
HD 50692,*  37 Gem,*,103.82777649493,25.37569543139,2020yCat.1350....0G,3381727613874753536,1,unique,exact SIMBAD identifier,,3381727613874753536,2016.0,103.82759156605088,0.05130661,25.375803135431426,0.05762174,57.45588658838684,0.0906531,-37.59497086966134,0.052593738,24.233724290764933,0.0394464,0.94982505,False,5.6027837,0.7730403,-15.0050955,0.13476095,identity/context only; RUWE and other Gaia fields are not companion classifications
HD 51419,HD  51419,PM*,104.5489590401,22.475884697000005,2020yCat.1350....0G,3379989457790428416,1,unique,exact SIMBAD identifier,,3379989457790428416,2016.0,104.54919118840635,0.018039599,22.476318087435597,0.016931161,40.27333938828646,0.019162552,48.26660080780093,0.02240099,97.51453152276078,0.020754538,1.0226898,False,6.772278,0.8137202,-26.840023,0.12876292,identity/context only; RUWE and other Gaia fields are not companion classifications
HD 52711,HD  52711,PM*,105.87691346155667,29.33708142258278,2020yCat.1350....0G,887822001246832384,1,unique,exact SIMBAD identifier,,887822001246832384,2016.0,105.87771196960249,0.038514853,29.33340231275945,0.03687473,52.771176020747866,0.043849643,156.6227877267507,0.054192,-827.8002461177721,0.05231791,1.2313855,False,5.7895827,0.77283525,24.5737,0.11930031,identity/context only; RUWE and other Gaia fields are not companion classifications
HD 55575,HD  55575,PM*,108.95891323603,47.23996344559,2020yCat.1350....0G,974887555341533440,1,unique,exact SIMBAD identifier,,974887555341533440,2016.0,108.95911015474844,0.040674727,47.23913713441689,0.034852784,59.340805456361466,0.05346388,30.078644710309177,0.048979905,-185.90470589934387,0.03616873,1.1051395,False,5.38816,0.7810364,84.93069,0.12158924,identity/context only; RUWE and other Gaia fields are not companion classifications
HD 68017,HD  68017,**,122.91105648277707,32.4571632000514,2020yCat.1350....0G,902007870203594880,1,unique,exact SIMBAD identifier,,902007870203594880,2016.0,122.90850193181564,0.05326311,32.45430347668133,0.043346256,46.3415049253662,0.060918283,-484.9902032690306,0.06494946,-643.4435611340102,0.05448414,2.9688635,False,6.618883,0.85226345,29.770575,0.12264695,identity/context only; RUWE and other Gaia fields are not companion classifications
HD 86728,*  20 LMi,PM*,150.25273698433085,31.923670281899167,2020yCat.1350....0G,746545172372256384,1,unique,exact SIMBAD identifier,,746545172372256384,2016.0,150.24996758591067,0.069691196,31.92176197567589,0.064839736,66.99581320003026,0.09214865,-528.8706141097352,0.091961995,-429.37565915124185,0.073765635,0.9407839,False,5.2049575,0.84054756,55.988895,0.12165629,identity/context only; RUWE and other Gaia fields are not companion classifications
HD 9407,HD   9407,PM*,23.638603305035005,68.9481359765661,2020yCat.1350....0G,532057254394731776,1,unique,exact SIMBAD identifier,,532057254394731776,2016.0,23.633921284293077,0.012754354,68.94864548479532,0.014030983,47.51084800424145,0.017119154,-378.41448221709794,0.015664712,114.62492212168596,0.019437995,1.063869,False,6.3501935,0.85279036,-33.397243,0.12256282,identity/context only; RUWE and other Gaia fields are not companion classifications
HD 95735,HD  95735,PM*,165.8341450816425,35.96988227279361,2020yCat.1350....0G,762815470562110464,1,unique,exact SIMBAD identifier,,762815470562110464,2016.0,165.83095967577933,0.024125582,35.948653032660104,0.029372523,392.75294543876464,0.03206665,-580.0570872139048,0.025565954,-4776.588719443488,0.030034095,0.9638494,False,6.551172,2.2156086,-85.11064,0.13100341,identity/context only; RUWE and other Gaia fields are not companion classifications
