model,period,semi_amplitude,mean_completeness,median_completeness,n_targets
era,5.0,1.0,0.2625,0.0,40
era,5.0,1.5,0.4791666666666667,0.5,40
era,5.0,2.0,0.625,0.8333333333333334,40
era,5.0,3.0,0.8125,1.0,40
era,5.0,5.0,0.8791666666666667,1.0,40
era,10.0,0.5,0.041666666666666664,0.0,40
era,10.0,1.0,0.275,0.0,40
era,10.0,1.5,0.4791666666666667,0.5,40
era,10.0,2.0,0.6166666666666667,0.9166666666666667,40
era,10.0,3.0,0.825,1.0,40
era,10.0,5.0,0.875,1.0,40
era,30.0,0.5,0.10416666666666666,0.0,40
era,30.0,1.0,0.30833333333333335,0.16666666666666666,40
era,30.0,1.5,0.4833333333333333,0.5,40
era,30.0,2.0,0.625,0.75,40
era,30.0,3.0,0.7875,1.0,40
era,30.0,5.0,0.8791666666666667,1.0,40
era,100.0,0.5,0.05416666666666666,0.0,40
era,100.0,1.0,0.24583333333333335,0.0,40
era,100.0,1.5,0.4166666666666667,0.16666666666666666,40
era,100.0,2.0,0.5708333333333333,0.6666666666666666,40
era,100.0,3.0,0.7458333333333333,1.0,40
era,100.0,5.0,0.8708333333333333,1.0,40
era,300.0,0.5,0.15,0.0,40
era,300.0,1.0,0.17083333333333334,0.0,40
era,300.0,1.5,0.25416666666666665,0.16666666666666666,40
era,300.0,2.0,0.36666666666666664,0.25,40
era,300.0,3.0,0.4416666666666667,0.5,40
era,300.0,5.0,0.5541666666666667,0.6666666666666666,40
era,500.0,0.5,0.008333333333333333,0.0,40
era,500.0,1.0,0.04583333333333333,0.0,40
era,500.0,1.5,0.09583333333333333,0.0,40
era,500.0,2.0,0.15416666666666665,0.08333333333333333,40
era,500.0,3.0,0.20416666666666666,0.16666666666666666,40
era,500.0,5.0,0.26666666666666666,0.3333333333333333,40
era_activity,5.0,0.5,0.058333333333333334,0.0,40
era_activity,5.0,1.0,0.3333333333333333,0.0,40
era_activity,5.0,1.5,0.525,0.5,40
era_activity,5.0,2.0,0.6958333333333333,1.0,40
era_activity,5.0,3.0,0.825,1.0,40
era_activity,5.0,5.0,0.8916666666666666,1.0,40
era_activity,10.0,0.5,0.10833333333333332,0.0,40
era_activity,10.0,1.0,0.36666666666666664,0.08333333333333333,40
era_activity,10.0,1.5,0.55,0.6666666666666666,40
era_activity,10.0,2.0,0.675,1.0,40
era_activity,10.0,3.0,0.8291666666666666,1.0,40
era_activity,10.0,5.0,0.8833333333333334,1.0,40
era_activity,30.0,0.5,0.1,0.0,40
era_activity,30.0,1.0,0.32083333333333336,0.08333333333333333,40
era_activity,30.0,1.5,0.5291666666666667,0.5833333333333333,40
era_activity,30.0,2.0,0.6625,0.8333333333333334,40
era_activity,30.0,3.0,0.8166666666666667,1.0,40
era_activity,30.0,5.0,0.8833333333333334,1.0,40
era_activity,100.0,0.5,0.07916666666666666,0.0,40
era_activity,100.0,1.0,0.26666666666666666,0.0,40
era_activity,100.0,1.5,0.4958333333333333,0.5,40
era_activity,100.0,2.0,0.6208333333333333,0.6666666666666666,40
era_activity,100.0,3.0,0.7666666666666667,1.0,40
era_activity,100.0,5.0,0.8791666666666667,1.0,40
era_activity,300.0,0.5,0.10416666666666667,0.0,40
era_activity,300.0,1.0,0.15416666666666665,0.0,40
era_activity,300.0,1.5,0.23333333333333334,0.16666666666666666,40
era_activity,300.0,2.0,0.35416666666666663,0.25,40
era_activity,300.0,3.0,0.4583333333333333,0.5,40
era_activity,300.0,5.0,0.5625,0.6666666666666666,40
era_activity,500.0,0.5,0.020833333333333332,0.0,40
