Star,n_rv,n_runs,baseline_days,median_internal_error_mps,raw_wrms_mps,era_demeaned_wrms_mps,gls_best_period_days,gls_best_power,gls_analytic_fap,activity_pairs,shk_slope_mps_per_unit,shk_slope_error,activity_corrected_wrms_mps
HD 157214,86,3,1068.1320800003596,0.38,1.218990973003055,1.059958555174654,500.0,0.2160765264211428,0.0301036281652076,86,-335.0050111455953,102.86283946115825,1.0510571429404798
HD 166620,103,3,1216.9321600003168,0.33,0.8952513441092955,0.7980489356645675,120.48199858073473,0.1796305092130367,0.0532335038737723,103,90.68530756213764,16.460574862265606,0.780147984369128
HD 168009,90,2,1014.0887299999596,0.37,3.3107709485545014,3.0361988287491317,15.129289925943942,0.2585338923970364,0.0022337321751618,90,872.9271211001557,30.65320120887081,2.814350582176884
HD 170657,64,3,1133.898370000068,0.36,3.0739704544307256,2.938217658614057,27.75684217216421,0.2604374203989012,0.0554518020685384,64,36.423507761881055,2.072048999174917,2.8242103552733333
HD 172051,54,2,1022.2079100003466,0.39,1.1884574099276763,1.0630273557570695,176.41259132145342,0.3266336292813887,0.0183751428918788,54,-81.42553738222682,15.127594659921645,1.0241274152959865
HD 179957,42,2,1001.1357299997472,0.37,2.7060889463972653,1.6269521417871984,245.0397874100475,0.4935968463043548,0.0008751127283758,42,-920.9875685167392,119.19650735156496,1.5639018204230275
HD 182572,75,2,1012.2460299995728,0.2,2.3946528399660085,2.0251369021743577,42.42826046846936,0.2564819850826497,0.0148160741623132,75,339.39699027023386,8.501832951257319,1.7876290848103158
HD 185144,470,3,1229.8621399998665,0.27,1.0270905319891963,0.7177689795782276,427.5712734477968,0.2753982229678876,2.724845803231612e-29,470,1.7793910928047976,1.89292974322851,0.717674508450804
HD 186408,55,2,944.2206999999472,0.32,3.5277813916322613,2.31512272577709,336.6076021170935,0.3214178384771951,0.0215213013306113,55,573.9555279513007,28.917531445732443,2.1419952467644907
HD 186427,56,2,949.281589999795,0.36,32.41164331877559,32.10211554648319,459.6493661623901,0.7168624356020687,3.622872812555846e-12,56,9284.879577527185,28.036710431224595,27.836740252676165
HD 187923,54,2,934.2685400000772,0.32,1.613703046980896,1.60547152814917,36.46845786246869,0.2931489883075773,0.0620184105261013,54,411.42336200851327,168.9744968955475,1.6018410166743566
HD 190360,77,3,1074.0813600001857,0.31,16.718284778308863,4.737963185977153,17.09916862765798,0.3973077217388058,9.03835498110149e-06,77,1516.336062314693,29.466525758202195,4.382428823538902
HD 19373,169,2,903.6195499999448,0.31,1.7461418355486102,1.7409943140638464,2.7642875818458514,0.1568559120492357,0.0014789449093761,169,-246.76619101622123,65.7185878144662,1.738579982830214
HD 201091,184,3,1107.0699200001543,0.34,4.110181944511327,2.22320207392626,35.185132205417496,0.1975913069208299,6.078551939310306e-06,184,5.615956998565714,0.6802391634515821,2.214070479117702
HD 217107,55,2,1032.1652000001632,0.27,95.56383700637691,92.8121775293139,7.1275073202296895,0.9747788003937892,1.4940856896668363e-38,55,38172.87692310396,78.78831707097663,91.0025406041092
HD 221354,204,3,1098.9195900000632,0.35,1.3851801537601989,1.1477641828266756,91.33935938348432,0.3573258585939204,2.1400161891674262e-16,204,39.49519307033786,5.8876819056550325,1.1356682209237905
HD 24496 A,82,2,901.7791100000032,0.38,6.215255754998486,3.9127279182250834,500.0,0.5060305563242514,1.3189965911450072e-09,82,81.51221276933563,4.975509246685977,3.8486497657971057
HD 26965,157,2,860.60951999994,0.22,2.730791009337807,2.3864434075209338,41.70046933257034,0.47431754604373,1.3601040974236028e-18,157,125.01835756763508,2.0304534719631744,2.0976401607324227
HD 34411,87,2,916.6942199999468,0.24,1.3249805023642365,1.1420585783982888,189.65871073254084,0.1873509015050802,0.1282703795118052,87,232.30051388219445,28.707130486434696,1.1215847052264771
HD 38858,79,2,907.6525900000706,0.41,3.09682798523998,2.067736829571178,378.4032420702997,0.5441281369782142,1.7814451389600502e-10,79,278.7686974373011,21.42010862389352,1.9714475126872897
HD 4614 A,511,3,1069.8982799998485,0.33,5.001748950427388,2.2914607851244617,226.52315395985008,0.4223877846507647,5.427987188128305e-57,511,-204.31667871325973,45.48269820781688,2.290475216859845
HD 4628,187,2,1021.0322900000028,0.33,2.062429784885697,1.295364020606652,355.0925196354334,0.1753301919972202,4.675825138306896e-05,187,18.89344664994944,1.761707620655899,1.2679247648373928
HD 50692,88,2,951.6539400001056,0.41,2.3975499404097675,2.0757462761439305,500.0,0.3120884074045844,0.0001381028720638,88,875.7803619263966,36.556990639892334,1.7918092007613036
HD 51419,87,2,949.6691999998876,0.45,1.2552662718177745,1.069829020855071,50.92240698468419,0.1648324137217074,0.3151091334870293,87,71.38499996234486,21.32871066822563,1.056816743638996
HD 52711,83,2,946.656049999874,0.42,1.798098415033964,1.49015709443612,23.68022728616792,0.1890044831972658,0.15459505210112,83,422.6781714741518,41.6296224448451,1.415239545062076
HD 55575,92,2,920.6083100000396,0.34,1.5571934242101508,1.4702725377414017,52.58250211783942,0.3276111729970302,2.7360687150260302e-05,92,492.0902955452112,149.34588594569,1.4654710114064389
HD 68017,113,2,973.6636900003068,0.42,11.810657795851125,4.949873428260275,263.3425688152465,0.3615465868061989,3.3755035923673985e-08,113,-140.84521305059408,22.31146547168125,4.943209577191278
HD 86728,150,3,1202.7668700003996,0.32,1.8744829667089613,1.7253256174412446,31.182220804610704,0.6185719632648979,7.962401198339384e-28,150,356.1465804754075,63.585773292862505,1.7189177946308116
HD 9407,190,3,1247.3253000001423,0.36,1.2638402315941346,1.0970577136733437,51.98347418320512,0.1997544666789562,2.054567956125664e-06,190,-241.81775806822563,46.75758623584718,1.0882049784986052
HD 95735,138,3,1245.7892399998382,1.12,1.68269305302323,1.6370438786435146,12.944397418198314,0.3736043946594926,4.203621399400467e-11,0,,,
