spec_number,visit,pipeline,obs_date_bjd,wavelength_micron,eclipse_depth_ppm,eclipse_depth_error_ppm
6,3,stark,2459906.530521,4.51539,121.5,20.049999999999997
6,3,stark,2459906.530521,4.54839,147.9,21.349999999999998
6,3,stark,2459906.530521,4.58139,117.19999999999999,22.4
6,3,stark,2459906.530521,4.61439,128.6,22.15
6,3,stark,2459906.530521,4.64738,86.89999999999999,23.550000000000004
6,3,stark,2459906.530521,4.68037,141.0,23.8
6,3,stark,2459906.530521,4.71336,113.7,23.249999999999996
6,3,stark,2459906.530521,4.74633,132.20000000000002,24.8
6,3,stark,2459906.530521,4.77931,87.39999999999999,24.4
6,3,stark,2459906.530521,4.81228,61.599999999999994,26.900000000000002
6,3,stark,2459906.530521,4.84525,78.3,25.050000000000004
6,3,stark,2459906.530521,4.87821,97.0,28.0
6,3,stark,2459906.530521,4.9102,65.6,27.949999999999996
7,4,HANSOLO,2459907.984896,3.95287,25.400000000000002,23.3
7,4,HANSOLO,2459907.984896,3.98617,20.1,19.5
7,4,HANSOLO,2459907.984896,4.01947,35.1,26.55
7,4,HANSOLO,2459907.984896,4.05277,28.1,22.75
7,4,HANSOLO,2459907.984896,4.08607,28.700000000000003,23.1
7,4,HANSOLO,2459907.984896,4.11937,32.8,25.25
7,4,HANSOLO,2459907.984896,4.15267,32.6,25.65
7,4,HANSOLO,2459907.984896,4.18597,37.4,28.700000000000003
7,4,HANSOLO,2459907.984896,4.21927,54.599999999999994,33.55
7,4,HANSOLO,2459907.984896,4.25257,36.0,26.55
7,4,HANSOLO,2459907.984896,4.28587,28.5,29.55
7,4,HANSOLO,2459907.984896,4.31917,19.3,20.2
7,4,HANSOLO,2459907.984896,4.35247,13.4,14.450000000000001
7,4,HANSOLO,2459907.984896,4.38578,26.8,23.9
7,4,HANSOLO,2459907.984896,4.41908,26.4,22.650000000000002
7,4,HANSOLO,2459907.984896,4.45238,40.699999999999996,29.950000000000003
7,4,HANSOLO,2459907.984896,4.48568,44.8,32.95
7,4,HANSOLO,2459907.984896,4.51898,58.5,36.550000000000004
7,4,HANSOLO,2459907.984896,4.55228,34.0,28.55
7,4,HANSOLO,2459907.984896,4.58558,29.7,26.3
7,4,HANSOLO,2459907.984896,4.61888,27.0,27.5
7,4,HANSOLO,2459907.984896,4.65218,39.4,33.35
7,4,HANSOLO,2459907.984896,4.68548,29.2,27.150000000000006
7,4,HANSOLO,2459907.984896,4.71878,63.9,40.4
7,4,HANSOLO,2459907.984896,4.75208,46.800000000000004,35.55
7,4,HANSOLO,2459907.984896,4.78538,37.6,32.4
7,4,HANSOLO,2459907.984896,4.81868,43.9,35.5
7,4,HANSOLO,2459907.984896,4.85198,53.4,38.75
7,4,HANSOLO,2459907.984896,4.88528,50.4,40.65
7,4,HANSOLO,2459907.984896,4.91858,78.60000000000001,49.650000000000006
8,4,stark,2459907.984896,3.95363,110.39999999999999,15.299999999999999
8,4,stark,2459907.984896,3.98671,127.60000000000001,14.450000000000001
8,4,stark,2459907.984896,4.01979,104.7,14.799999999999999
8,4,stark,2459907.984896,4.05286,119.5,14.4
8,4,stark,2459907.984896,4.08592,113.50000000000001,15.100000000000001
8,4,stark,2459907.984896,4.11898,106.19999999999999,15.299999999999999
8,4,stark,2459907.984896,4.15204,97.5,15.200000000000001
8,4,stark,2459907.984896,4.18509,110.39999999999999,15.249999999999998
8,4,stark,2459907.984896,4.21814,104.0,15.35
8,4,stark,2459907.984896,4.25119,107.3,17.0
8,4,stark,2459907.984896,4.28423,101.5,18.1
8,4,stark,2459907.984896,4.31726,92.0,16.75
8,4,stark,2459907.984896,4.35029,96.2,16.95
8,4,stark,2459907.984896,4.38332,115.2,16.2
8,4,stark,2459907.984896,4.41634,98.39999999999999,18.6
8,4,stark,2459907.984896,4.44936,107.60000000000001,18.2
8,4,stark,2459907.984896,4.48238,125.6,17.099999999999998
8,4,stark,2459907.984896,4.51539,133.4,18.5
8,4,stark,2459907.984896,4.54839,175.9,20.25
8,4,stark,2459907.984896,4.58139,120.1,20.400000000000002
8,4,stark,2459907.984896,4.61439,107.8,19.35
8,4,stark,2459907.984896,4.64738,101.60000000000001,19.2
8,4,stark,2459907.984896,4.68037,140.8,19.2
8,4,stark,2459907.984896,4.71336,144.7,20.9
8,4,stark,2459907.984896,4.74633,157.4,21.5
8,4,stark,2459907.984896,4.77931,149.0,21.7
8,4,stark,2459907.984896,4.81228,160.0,20.749999999999996
8,4,stark,2459907.984896,4.84525,143.5,23.150000000000002
8,4,stark,2459907.984896,4.87821,90.0,22.250000000000004
8,4,stark,2459907.984896,4.9102,111.9,23.3
9,5,HANSOLO,2460058.997951,3.95287,67.8,53.349999999999994
9,5,HANSOLO,2460058.997951,3.98617,35.9,29.099999999999998
9,5,HANSOLO,2460058.997951,4.01947,72.6,35.35
9,5,HANSOLO,2460058.997951,4.05277,12.1,12.25
9,5,HANSOLO,2460058.997951,4.08607,69.0,34.1
9,5,HANSOLO,2460058.997951,4.11937,50.2,33.550000000000004
9,5,HANSOLO,2460058.997951,4.15267,39.50000000000001,28.5
9,5,HANSOLO,2460058.997951,4.18597,35.300000000000004,26.6
9,5,HANSOLO,2460058.997951,4.21927,42.1,30.45
9,5,HANSOLO,2460058.997951,4.25257,23.700000000000003,21.6
9,5,HANSOLO,2460058.997951,4.28587,34.9,26.75
9,5,HANSOLO,2460058.997951,4.31917,45.199999999999996,31.8
9,5,HANSOLO,2460058.997951,4.35247,26.900000000000002,25.349999999999998
9,5,HANSOLO,2460058.997951,4.38578,50.2,37.9
9,5,HANSOLO,2460058.997951,4.41908,35.6,30.0
9,5,HANSOLO,2460058.997951,4.45238,40.5,31.000000000000004
9,5,HANSOLO,2460058.997951,4.48568,27.4,28.0
9,5,HANSOLO,2460058.997951,4.51898,44.2,33.4
9,5,HANSOLO,2460058.997951,4.55228,41.8,34.2
9,5,HANSOLO,2460058.997951,4.58558,70.0,39.35
9,5,HANSOLO,2460058.997951,4.61888,40.3,31.45
9,5,HANSOLO,2460058.997951,4.65218,34.5,28.900000000000002
9,5,HANSOLO,2460058.997951,4.68548,71.8,49.0
9,5,HANSOLO,2460058.997951,4.71878,42.199999999999996,33.449999999999996
